0,0,0,6871
2,0.12702572422,359.991643855,6870.99999911
4,0.25405144844,359.983287711,6870.99999822
6,0.38107717266,359.974931566,6870.99999733
8,0.508102896879,359.966575422,6870.99999644
10,0.635128621099,359.958219277,6870.99999831
12,0.762154345319,359.949863133,6870.99999235
14,0.889180069539,359.941506988,6870.99999288
16,1.01620579376,359.933150844,6870.99999288
18,1.14323151798,359.924794699,6870.99999752
20,1.2702572422,359.916438555,6870.99998648
22,1.39728296642,359.90808241,6870.99998844
24,1.52430869064,359.899726265,6870.99998933
26,1.65133441486,359.891370121,6870.99999672
28,1.77836013908,359.883013976,6870.99998061
30,1.9053858633,359.874657832,6870.99998399
32,2.03241157936,359.866301683,6870.9999859
34,2.159437284,359.857945529,6870.99999636
36,2.28646298864,359.849589375,6870.99997549
38,2.41348869328,359.841233222,6870.9999806
40,2.54051439791,359.832877068,6870.99998358
42,2.66754010255,359.824520914,6870.99999956
44,2.79456580719,359.81616476,6870.99997363
46,2.92159151183,359.807808606,6870.99998016
48,3.04861721647,359.799452452,6870.99998126
50,3.1756429211,359.791096298,6870.99999493
52,3.30266862574,359.782740144,6870.99996392
54,3.42969433038,359.77438399,6870.99997188
56,3.55672003502,359.766027836,6870.99997895
58,3.68374573966,359.757671682,6870.9999968
60,3.81077144429,359.749315528,6870.99996072
62,3.93779714893,359.740959374,6870.99997009
64,4.06482284101,359.732603233,6870.99997907
66,4.19184853056,359.724247095,6871.00000351
68,4.31887422011,359.715890956,6870.99996529
70,4.44589990966,359.707534818,6870.99997902
72,4.57292559922,359.699178679,6870.99998849
74,4.69995128877,359.690822541,6871.00002121
76,4.82697697832,359.682466402,6870.99997791
78,4.95400266787,359.674110264,6870.99999307
80,5.08102835743,359.665754125,6870.99999791
82,5.20805404698,359.657397987,6871.00002324
84,5.33507973653,359.649041848,6870.99997488
86,5.46210542608,359.64068571,6870.99999145
88,5.58913111564,359.632329571,6871.00000732
90,5.71615680519,359.623973433,6871.00003826
92,5.84318249474,359.615617294,6870.99998483
94,5.97020819207,359.607261146,6871.00000265
96,6.09723391284,359.598904969,6871.00001588
98,6.22425963361,359.590548792,6871.00005067
100,6.35128535437,359.582192614,6870.99999147
102,6.47831107514,359.573836437,6871.0000102
104,6.60533679591,359.56548026,6871.00002254
106,6.73236251667,359.557124083,6871.00006837
108,6.85938823744,359.548767905,6871.0000041
110,6.98641395821,359.540411728,6871.00002426
112,7.11343967897,359.532055551,6871.0000292
114,7.24046539974,359.523699374,6871.00006258
116,7.36749112051,359.515343196,6870.99999324
118,7.49451684127,359.506987019,6871.00001482
120,7.62154256204,359.498630842,6871.00003587
122,7.74856828281,359.490274664,6871.00007627
124,7.87559400357,359.481918487,6871.00000186
126,8.00261969862,359.47356234,6871.00002272
128,8.12964538076,359.465206209,6871.00003718
130,8.2566710629,359.456850077,6871.00007971
132,8.38369674504,359.448493945,6870.99999884
134,8.51072242718,359.440137814,6871.00001844
136,8.63774810932,359.431781682,6871.000031
138,8.76477379146,359.42342555,6871.00008712
140,8.8917994736,359.415069419,6871.00000557
142,9.01882515573,359.406713287,6871.00002272
144,9.14585083787,359.398357155,6871.00002482
146,9.27287652001,359.390001023,6871.0000632
148,9.39990220215,359.381644892,6870.99998096
150,9.52692788429,359.37328876,6870.99999567
152,9.65395356643,359.364932628,6871.00001863
154,9.78097924857,359.356576497,6871.00006525
156,9.90800493411,359.348220365,6870.99998265
158,10.0350306577,359.339864231,6870.9999988
160,10.1620563813,359.331508098,6871.00002054
162,10.2890821049,359.323151964,6871.00007715
164,10.4161078285,359.314795831,6870.99999742
166,10.5431335521,359.306439697,6871.00001114
168,10.6701592757,359.298083564,6871.00002989
170,10.7971849993,359.28972743,6871.00010561
172,10.9242107229,359.281371297,6871.0000252
174,11.0512364465,359.273015163,6871.00003647
176,11.1782621701,359.26465903,6871.00003925
178,11.3052878937,359.256302896,6871.00009216
180,11.4323136173,359.247946763,6871.00001106
182,11.5593393409,359.239590629,6871.00001989
184,11.6863650645,359.231234496,6871.0000486
186,11.8133907881,359.222878362,6871.00011117
188,11.9404164883,359.214522209,6871.00002826
190,12.067442165,359.206166035,6871.0000324
192,12.1944678417,359.197809862,6871.00005233
194,12.3214935183,359.189453688,6871.00011688
196,12.448519195,359.181097515,6871.00003216
198,12.5755448717,359.172741342,6871.00003385
200,12.7025705483,359.164385168,6871.00005268
202,12.829596225,359.156028995,6871.00013403
204,12.9566219017,359.147672822,6871.00004863
206,13.0836475783,359.139316648,6871.00004787
208,13.210673255,359.130960475,6871.00005303
210,13.3376989317,359.122604301,6871.0001065
212,13.4647246083,359.114248128,6871.00002041
214,13.591750285,359.105891955,6871.00001721
216,13.7187759617,359.097535781,6871.00005338
218,13.8458016383,359.089179608,6871.00011793
220,13.9728273402,359.08082347,6871.00003313
222,14.0998530443,359.072467335,6871.00002965
224,14.2268787485,359.064111199,6871.00006002
226,14.3539044526,359.055755064,6871.00013693
228,14.4809301568,359.047398929,6871.00005163
230,14.6079558609,359.039042794,6871.00004571
232,14.7349815651,359.030686659,6871.00006901
234,14.8620072692,359.022330524,6871.0001669
236,14.9890329734,359.013974389,6871.00008092
238,15.1160586775,359.005618254,6871.00007255
240,15.2430843817,358.997262119,6871.000078
242,15.3701100858,358.988905984,6871.00014294
244,15.49713579,358.980549849,6871.00005627
246,15.6241614941,358.972193714,6871.00004546
248,15.7511871983,358.963837579,6871.00008699
250,15.878212901,358.955481436,6871.00016473
252,16.0052386009,358.947125279,6871.00007828
254,16.1322643007,358.938769122,6871.00006593
